CodigoVariable,CodigoDuracion,UnidadMedida,CodigoSICAgente,CodigoPlanta,Version
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EGRG,3A44,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,EPSG,3K8A,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
